Model Name,Test Set,Accuracy,Precision,Recall,F1-Score,ROC AUC,Log Loss, ROC AUC (float), Uncertain Predictions, Uncertainty Threshold, Calibration Method
pharmSpellchecked,pharm_small_test_spellchecked,0.9,1.0,0.8,0.8888888888888888,0.9,0.1386295314794264,0.9800000000000001,N/A,N/A,isotonic
pharmSpellchecked,pharm_small_test_spellchecked,0.8,0.8,0.8,0.8,0.8,0.6030012215733115,0.9600000000000001,N/A,N/A,platt
pharmSpellchecked,pharm_small_test_spellchecked,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,1.0,8,0.2,isotonic
pharmSpellchecked,pharm_small_test_spellchecked,0.800000011920929,1.0,0.6,0.75,0.9600000000000001,0.3994752321951736
pharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5926502346992493,0.5844844201734661,0.8903841448495229,0.7057112382429943,0.630771096122762,0.7990628034795455
pharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.6012133251013341,0.6004248118947331,0.8161487643748471,0.6918609474819547,0.578100544632423,0.6641278351413369,0.630771096122762,N/A,N/A,platt
pharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.6047029769414544,0.6218569903948773,0.7128456080254465,0.664249886000912,0.5930740110527993,0.6610812920505857,0.631847972841151,N/A,N/A,isotonic
datasetSpellchecked,targetAndPharmSpellchecked,0.6014262437820435,0.5903186410569558,0.5371249621173856,0.5624669417116259,0.6410865308477902,0.7928608876628013
datasetSpellchecked,targetAndPharmSpellchecked,0.6015707815360894,0.5903748059436682,0.5378321042529548,0.5628799492519956,0.5987640484415395,0.6595320759825681,0.6410865308477902,N/A,N/A,platt
datasetSpellchecked,targetAndPharmSpellchecked,0.6202659728245158,0.7093360995850623,0.3453884230730377,0.4645696039133093,0.6081617380220095,0.6418934638629842,0.6430123892028046,N/A,N/A,isotonic
datasetSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5698869824409485,0.6423960753937517,0.4870075850256912,0.55401230272497,0.6165889699022478,0.8333016692695241
datasetSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5872815612165463,0.610828806728579,0.6823586983117201,0.6446154912974135,0.5770575748664083,0.6677183703030879,0.6165889699022478,N/A,N/A,platt
datasetSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5903148739698816,0.5952775628982945,0.7908000978712992,0.679248455298222,0.5687559771078461,0.6636700507828018,0.6179564678726462,N/A,N/A,isotonic
datasetSpellchecked,pharmAndPharmTranslatedSpellchecked,0.544896125793457,0.4289074932539957,0.45407266334602986,0.4411314712684576,0.5414260661724031,0.8210668174158389
datasetSpellchecked,pharmAndPharmTranslatedSpellchecked,0.6044389070784921,0.0,0.0,0.0,0.5,0.6687221905068264,0.5414260661724031,N/A,N/A,platt
datasetSpellchecked,pharmAndPharmTranslatedSpellchecked,0.6044389070784921,0.0,0.0,0.0,0.5,0.6680530526541429,0.5441258491582832,N/A,N/A,isotonic
datasetSpellchecked,pharm_small_test_spellchecked,0.6000000238418579,0.6666666666666666,0.4,0.5,0.6,1.1806530548203371
datasetSpellchecked,pharm_small_test_spellchecked,0.6,0.6,0.6,0.6,0.6,0.6908873956373915,0.6,N/A,N/A,platt
datasetSpellchecked,pharm_small_test_spellchecked,0.7,0.75,0.6,0.6666666666666666,0.7000000000000002,0.5274600929337707,0.76,N/A,N/A,isotonic
datasetSpellchecked,pharm_translated_greek_spellchecked,0.5420730710029602,0.48116089613034624,0.4411764705882353,0.4603019970774476,0.5475408290757106,0.8359003778015391
datasetSpellchecked,pharm_translated_greek_spellchecked,0.5574475119854522,0.5004159733777038,0.1123249299719888,0.18346804941284123,0.5116348066736705,0.6833710949981268,0.5475408290757106,N/A,N/A,platt
datasetSpellchecked,pharm_translated_greek_spellchecked,0.5587287154901637,0.5104761904761905,0.07507002801120448,0.1308913308913309,0.5089498145394893,0.6820440275536785,0.5500124000363901,N/A,N/A,isotonic
datasetSpellchecked,pharmSpellchecked,0.5486862659454346,0.32573029211684673,0.505276225946617,0.39610705596107054,0.5455609607249632,0.7842615890180564
